index,Name,PlayerID,ERA,IP,CSW%
1,Cory Abbott,676265,0.00,1.0,25.0
2,Albert Abreu,656061,2.60,17.1,24.2
3,Bryan Abreu,650556,2.28,27.2,17.7
4,Domingo Acevedo,642758,3.41,34.1,21.5
5,Jason Adam,592094,1.47,30.2,28.7
6,Austin Adams,613534,0.00,2.1,30.0
7,Joan Adon,672851,6.97,60.2,25.6
8,Ehire Adrianza,501303,0.00,1.0,0.0
9,Keegan Akin,669211,2.35,46.0,34.7
10,Hanser Alberto,593643,4.50,2.0,0.0
11,Jorge Alcala,660896,0.00,2.1,30.8
12,Sandy Alcantara,645261,1.95,115.1,23.8
13,Jason Alexander,669920,3.82,30.2,24.1
14,Tyler Alexander,641302,5.75,20.1,28.3
15,Kolby Allard,663465,5.06,16.0,29.3
16,Cam Alldred,682027,0.00,1.0,37.5
17,Logan Allen,663531,5.87,7.2,24.3
18,Yency Almonte,622075,1.37,19.2,25.8
19,Jose Alvarado,621237,5.85,20.0,30.7
20,Jose Alvarez,501625,5.28,15.1,25.3
21,Ian Anderson,666120,5.31,76.1,24.2
22,Shaun Anderson,641312,18.00,1.0,66.7
23,Tyler Anderson,542881,3.23,78.0,27.0
24,Mark Appel,NaN,0.00,2.0,NaN
25,Victor Arano,644364,5.01,23.1,22.8
27,Chris Archer,502042,3.08,61.1,23.3
28,Shawn Armstrong,542888,5.59,19.1,27.2
29,Aaron Ashby,676879,4.25,55.0,29.2
30,Graham Ashcraft,668933,4.53,43.2,23.8
31,Willians Astudillo,553902,0.00,1.0,0.0
32,Pedro Avila,658648,4.50,4.0,20.6
33,Pedro Baez,520980,11.57,2.1,25.8
34,Bryan Baker,641329,4.73,32.1,28.7
35,Anthony Banda,607455,6.41,19.2,26.7
36,Tanner Banks,621383,3.56,30.1,30.9
37,Manny Banuelos,544365,2.16,8.1,26.5
38,Daniel Bard,453268,2.12,29.2,29.5
39,Luke Bard,572703,0.00,6.0,24.2
40,Luke Barker,673316,11.25,4.0,34.4
41,Joe Barlow,669618,2.84,25.1,29.8
42,Scott Barlow,605130,2.14,33.2,25.4
43,Jacob Barnes,606930,6.10,20.2,22.8
44,Matt Barnes,598264,7.94,17.0,27.8
45,Tucker Barnhart,571466,9.00,1.0,0.0
46,Kyle Barraclough,607457,3.00,9.0,27.6
47,Jaime Barria,642545,3.11,37.2,24.7
48,Anthony Bass,542914,1.74,31.0,25.3
49,Chris Bassitt,605135,4.01,89.2,31.6
50,Mike Baumann,657508,4.50,12.0,22.8
51,Félix Bautista,642585,1.50,30.0,24.8
53,Shane Baz,669358,3.38,18.2,23.7
54,Jeremy Beasley,676886,6.30,10.0,22.3
55,David Bednar,670280,2.50,36.0,28.9
56,Tyler Beede,595881,3.68,29.1,23.4
57,Jalen Beeks,656222,2.70,33.1,30.8
58,Andrew Bellatti,571479,3.65,24.2,23.0
59,Anthony Bender,669622,4.50,14.0,27.9
60,Jose Berrios,621244,5.86,78.1,26.7
61,Christian Bethancourt,542194,0.00,1.0,0.0
62,Phil Bickford,641360,4.88,24.0,26.5
63,Shane Bieber,669456,3.16,91.0,31.7
64,Brandon Bielak,656232,1.29,7.0,25.7
65,Jake Bird,656234,1.29,7.0,33.3
66,Ty Blach,621389,6.34,32.2,29.4
67,Paul Blackburn,621112,3.12,80.2,26.7
68,Ronel Blanco,669854,7.11,6.1,20.0
69,Richard Bleier,542947,5.59,19.1,21.8
70,Ronald Bolanos,671790,4.42,18.1,22.1
71,Ryan Borucki,621366,6.92,13.0,20.9
72,Brad Boxberger,502202,2.12,29.2,36.6
73,Kyle Bradish,680694,7.38,46.1,26.4
74,Archie Bradley,605151,4.82,18.2,32.1
75,Matt Brash,666374,7.65,20.0,27.4
76,Ryan Brasier,518489,4.30,29.1,25.2
77,John Brebbia,605154,2.78,32.1,29.1
79,Jake Brentz,641394,23.63,5.1,31.6
80,Austin Brice,592169,0.00,1.1,30.0
81,Beau Brieske,689225,4.55,63.1,21.5
82,Connor Brogdon,641401,2.04,17.2,31.7
83,Aaron Brooks,605156,7.71,9.1,29.3
84,Mike Brosseau,670712,0.00,1.0,0.0
85,JT Brubaker,664141,4.28,82.0,24.4
86,Justin Bruihl,677865,3.57,17.2,22.6
87,Kris Bubic,663460,7.45,38.2,23.8
88,Walker Buehler,621111,4.02,65.0,25.1
89,Madison Bumgarner,518516,3.63,79.1,24.8
90,Aaron Bummer,607481,3.06,17.2,31.9
91,Dylan Bundy,605164,4.71,65.0,22.3
92,Brock Burke,656271,1.23,36.2,31.2
93,Corbin Burnes,669203,2.41,93.1,33.3
94,Ryan Burr,621114,6.00,9.0,25.7
95,Matt Bush,456713,4.05,26.2,32.9
96,Edward Cabrera,665795,3.45,15.2,29.8
97,Genesis Cabrera,650893,2.27,31.2,22.6
98,Yennier Cano,666974,9.26,11.2,27.8
99,Drew Carlton,656290,2.70,6.2,25.0
100,Carlos Carrasco,471911,4.85,81.2,29.6
101,Daniel Castano,641447,2.57,21.0,23.3
102,Ryan Castellani,624418,0.00,2.2,18.2
103,Humberto Castellanos,528748,5.68,44.1,28.8
105,Diego Castillo,650895,4.82,28.0,23.5
106,Diego Castillo,660636,36.00,2.0,0.0
107,Luis Castillo,622491,3.32,57.0,27.1
108,Max Castillo,666721,3.60,5.0,38.6
109,Anthony Castro,621593,9.00,9.0,28.9
110,Harold Castro,605612,4.50,2.0,0.0
111,Kervin Castro,665645,27.00,1.2,16.0
112,Miguel Castro,612434,3.51,25.2,32.7
113,Dylan Cease,656302,2.56,81.0,26.5
114,Luis Cessa,570666,5.97,28.2,25.8
115,Jhoulys Chacin,468504,6.50,36.0,19.8
116,Andrew Chafin,605177,2.95,21.1,27.5
117,Aroldis Chapman,547973,3.86,14.0,29.8
118,j. t. Chargois,608638,0.00,0.2,0.0
119,Jesse Chavez,445926,2.87,31.1,35.0
120,Adam Cimber,643256,3.58,32.2,27.8
121,Steve Cishek,518553,4.94,31.0,25.1
122,Aaron Civale,650644,7.20,40.0,27.8
123,Taylor Clarke,664199,4.73,32.1,19.9
124,Emmanuel Clase,661403,1.35,33.1,25.5
125,Sam Clay,621348,10.38,4.1,30.5
126,Garrett Cleavinger,664076,3.38,2.2,14.3
127,Kody Clemens,665019,9.00,1.0,0.0
128,Ernie Clement,676391,18.00,1.0,0.0
129,Mike Clevinger,605182,2.79,29.0,30.3
131,Alex Cobb,502171,5.48,46.0,31.3
132,Gerrit Cole,543037,2.99,87.1,32.6
133,Dylan Coleman,669395,3.16,31.1,27.3
134,Alex Colome,517008,2.54,28.1,22.0
135,Roansy Contreras,672710,2.76,42.1,29.8
136,Patrick Corbin,571578,6.06,81.2,24.9
137,Nestor Cortes,641482,2.51,79.0,27.6
138,Jharel Cotton,605194,3.66,19.2,25.1
139,Danny Coulombe,543056,1.46,12.1,24.1
140,Jake Cousins,664776,4.50,8.0,34.4
141,Kutter Crawford,676710,6.41,19.2,27.0
142,Kyle Crick,605195,4.02,15.2,32.8
143,Nabil Crismatt,622503,1.93,37.1,29.3
144,Wil Crowe,640444,3.45,44.1,27.2
145,Jesus Cruz,672911,6.23,8.2,23.2
146,Jose Cuas,621016,2.25,12.0,25.6
147,Johnny Cueto,456501,3.33,54.0,24.3
148,Charlie Culberson,518586,0.00,1.0,0.0
149,Tyler Danish,641501,4.33,27.0,28.3
150,Yu Darvish,506433,3.26,88.1,32.5
151,Tucker Davidson,656353,6.46,15.1,22.3
152,Zach Davies,605200,3.94,80.0,28.8
153,Austin Davis,656354,2.45,29.1,22.8
154,Angel De Jesus,669804,0.00,2.0,27.8
155,Chase De Jong,608328,1.82,29.2,19.3
157,Enyel De Los Santos,660853,3.09,23.1,27.1
158,Yerry De Los Santos,660787,2.84,12.2,24.3
159,Anthony DeSclafani,543101,9.95,19.0,20.8
160,Reid Detmers,672282,4.66,58.0,23.8
161,Ross Detwiler,446321,4.91,11.0,29.2
162,Alexis Diaz,664747,2.40,30.0,27.0
163,Edwin Díaz,621242,2.08,30.1,34.1
164,Jhonathan Diaz,646242,2.93,15.1,23.7
165,Phillip Diehl,670426,11.12,5.2,25.8
166,Jake Diekman,518617,3.12,26.0,31.7
167,Marcos Diplan,650959,1.59,5.2,22.2
168,Seranthony Dominguez,622554,1.63,27.2,27.7
169,Sean Doolittle,448281,0.00,5.1,34.1
170,Camilo Doval,666808,2.97,33.1,22.8
171,Daniel Duarte,650960,10.13,2.2,20.0
172,Tyler Duffey,608648,4.64,33.0,30.0
173,Robert Dugger,667498,6.48,8.1,27.5
174,Dane Dunning,641540,4.09,88.0,31.8
175,Jhoan Duran,661395,2.06,35.0,28.8
176,Carl Edwards,605218,3.21,28.0,27.0
177,Scott Effross,664123,2.81,32.0,31.1
178,Zach Eflin,621107,4.37,68.0,26.1
179,Jerad Eickhoff,595191,20.77,4.1,21.1
180,Bryce Elder,693821,4.74,19.0,20.2
181,Roenis Elias,606273,3.52,7.2,16.3
183,Chris Ellis,595939,10.38,4.1,21.1
184,Nathan Eovaldi,543135,3.16,68.1,27.3
185,Robbie Erlin,572362,9.00,2.0,12.5
186,Paolo Espino,502179,2.80,45.0,24.9
187,Anderson Espinoza,659262,4.50,4.0,25.0
188,Carlos Estevez,608032,5.11,24.2,20.8
189,Alex Faedo,656412,4.84,48.1,26.1
190,Bailey Falter,663559,4.50,20.0,26.8
191,Jeurys Familia,544727,5.13,26.1,32.5
192,Buck Farmer,571656,6.75,12.0,26.0
193,Calvin Faucher,676534,7.59,10.2,34.1
194,Erick Fedde,607200,4.40,73.2,23.8
195,Ryan Feltner,663372,6.15,33.2,25.5
196,Caleb Ferguson,657571,0.00,5.0,27.7
197,Junior Fernandez,658551,0.00,8.1,30.8
198,Matthew Festa,670036,4.35,20.2,35.8
199,J. P. Feyereisen,656420,0.00,24.1,32.7
200,Kyle Finnegan,640448,4.20,30.0,29.2
201,Jack Flaherty,656427,5.63,8.0,20.2
202,Josh Fleming,676596,6.38,18.1,29.8
203,Aaron Fletcher,667465,9.35,8.2,29.6
204,Chris Flexen,623167,4.32,83.1,22.5
205,Dylan Floro,571670,4.76,17.0,26.2
206,Jason Foley,671345,2.81,25.2,29.7
207,Mike Ford,645801,18.00,1.0,0.0
209,Matt Foster,641582,5.10,30.0,27.6
210,Bowden Francis,670102,0.00,0.2,50.0
211,Kyle Freeland,607536,4.31,85.2,23.5
212,Luis Frias,666818,13.50,6.0,20.4
213,Max Fried,608331,2.77,94.1,22.5
214,Paul Fry,643316,6.23,13.0,37.7
215,Michael Fulmer,605242,1.91,28.1,29.0
216,Matt Gage,657424,0.87,10.1,26.8
217,Giovanny Gallegos,606149,3.00,30.0,24.8
218,Zac Gallen,668678,3.32,76.0,25.5
219,Jarlin Garcia,606424,2.36,26.2,26.4
220,Luis Garcia,472610,3.64,29.2,23.8
221,Luis Garcia,677651,3.54,76.1,26.6
222,Rico Garcia,670329,3.00,3.0,20.0
223,Rony Garcia,665621,4.28,48.1,26.3
224,Yimi Garcia,554340,3.42,26.1,23.7
225,Amir Garrett,607237,6.05,19.1,25.9
226,Braxton Garrett,666129,5.24,22.1,29.7
227,Reed Garrett,657585,1.80,5.0,22.1
228,Ralph Garza,621248,3.72,29.0,22.7
229,Kevin Gausman,592332,2.93,86.0,29.5
230,Ian Gibaut,664139,0.00,1.1,45.5
231,Kyle Gibson,502043,4.48,80.1,24.6
232,Luis Gil,661563,9.00,4.0,26.5
233,Logan Gilbert,669302,2.66,94.2,25.2
235,Tyler Gilbert,656457,7.88,16.0,27.0
236,Lucas Gilbreath,656458,4.29,21.0,27.1
237,Ken Giles,571704,0.00,3.0,16.7
238,Logan Gillaspie,670810,4.35,10.1,26.1
239,Lucas Giolito,608337,5.19,69.1,33.9
240,Mychal Givens,571710,3.68,29.1,27.4
241,Austin Gomber,596295,6.55,67.1,24.3
242,Tony Gonsolin,664062,1.58,74.0,26.5
243,Marco Gonzales,594835,3.31,81.2,19.3
244,Chi Chi Gonzalez,592346,7.20,15.0,29.1
245,Luis Gonzalez,114935,6.23,4.1,0.0
246,Nick Gordon,624503,0.00,1.0,0.0
247,MacKenzie Gore,669022,3.34,59.1,24.8
248,Anthony Gose,543238,3.10,20.1,23.3
249,Trevor Gott,641627,3.52,23.0,31.5
250,Ashton Goudeau,623485,7.08,20.1,21.8
251,Brusdar Graterol,660813,3.82,35.1,25.8
252,Kendall Graveman,608665,2.20,32.2,27.1
253,Jon Gray,592351,3.89,71.2,28.7
254,Josiah Gray,680686,3.82,75.1,22.5
255,Sonny Gray,543243,2.17,49.2,30.0
256,Chad Green,643338,3.00,15.0,26.8
257,Hunter Greene,668881,5.72,74.0,26.0
258,Shane Greene,572888,0.00,2.0,12.5
259,Zack Greinke,425844,4.38,63.2,29.4
261,Randal Grichuk,545341,0.00,1.0,0.0
262,Foster Griffin,656492,12.46,4.1,27.3
263,Justin Grimm,518748,4.11,15.1,21.9
264,Michael Grove,675627,5.79,4.2,14.0
265,Robert Gsellman,607229,4.70,15.1,23.5
266,Javy Guerra,642770,11.05,7.1,21.4
267,Jandel Gustave,594311,4.76,17.0,24.7
268,Vladimir Gutiérrez,661269,7.61,36.2,20.0
269,Josh Hader,623352,1.09,24.2,31.2
270,Jake Hager,606993,7.71,2.1,0.0
271,Ian Hamilton,641656,6.75,2.2,22.7
272,Brad Hand,543272,2.31,23.1,35.1
273,Josh Harrison,543281,18.00,1.0,0.0
274,Hunter Harvey,640451,0.00,2.2,27.0
275,Louis Head,545343,7.23,23.2,16.4
276,Andrew Heaney,571760,0.59,15.1,34.6
277,Taylor Hearn,621368,5.86,63.0,25.7
278,Jonathan Heasley,669169,5.20,45.0,24.4
279,Ryan Helsley,664854,0.88,30.2,26.8
280,Heath Hembree,592390,7.16,16.1,23.2
281,Kyle Hendricks,543294,4.76,81.1,28.3
282,Liam Hendriks,521230,2.81,25.2,30.3
283,Ryan Hendrix,641682,8.10,3.1,24.2
284,Sam Hentges,656529,2.33,27.0,27.5
285,Jimmy Herget,623474,3.72,36.1,25.1
287,Carlos Hernandez,672578,9.10,29.2,23.3
288,Elieser Hernandez,622694,6.75,48.0,26.0
289,Jordan Hicks,663855,5.02,28.2,21.0
290,Rich Hill,448179,4.09,66.0,31.5
291,Tim Hill,657612,4.66,19.1,26.2
292,Sean Hjelle,663546,4.50,4.0,22.7
293,Jeff Hoffman,656546,3.34,35.0,19.5
294,Colin Holderman,670059,3.18,11.1,33.6
295,Greg Holland,518813,7.71,4.2,33.3
296,Clay Holmes,605280,0.49,36.2,31.0
297,Tyler Holton,663947,0.00,3.0,29.2
298,Tanner Houck,656557,3.42,47.1,25.3
299,Adrian Houser,605288,4.72,76.1,24.0
300,Sam Howard,607572,9.00,2.0,25.8
301,Spencer Howard,675921,12.15,6.2,29.7
302,Dakota Hudson,641712,3.83,80.0,21.7
303,Daniel Hudson,543339,2.22,24.1,27.9
304,Brandon Hughes,676714,4.50,18.0,25.6
305,Tommy Hunter,488984,0.00,4.0,22.2
306,Drew Hutchison,571800,4.81,24.1,24.3
307,Raisel Iglesias,628452,3.62,27.1,30.2
308,Cole Irvin,608344,3.58,75.1,25.8
309,Zach Jackson,667427,3.64,29.2,25.2
310,Kenley Jansen,445276,3.58,32.2,32.5
311,Cristian Javier,664299,2.73,62.2,23.7
313,Griffin Jax,643377,2.65,37.1,29.1
314,Daulton Jefferies,641726,5.72,39.1,25.5
315,Dany Jimenez,666204,4.38,24.2,24.7
316,Joe Jimenez,641729,3.45,28.2,27.9
317,Pierce Johnson,572955,4.50,6.0,26.5
318,Damon Jones,676103,9.64,4.2,27.3
319,Jakob Junis,596001,2.63,48.0,33.3
320,Janson Junk,676083,0.00,1.0,33.3
321,Tommy Kahnle,592454,6.75,4.0,10.0
322,James Kaprielian,621076,5.88,52.0,20.0
323,Anthony Kay,641743,4.50,2.0,37.5
324,Brad Keller,641745,4.56,79.0,21.9
325,Mitch Keller,656605,5.14,70.0,25.0
326,Trevor Kelley,665001,6.88,17.0,30.0
327,Carson Kelly,608348,0.00,1.0,0.0
328,Joe Kelly,523260,8.38,9.2,35.7
329,Merrill Kelly,518876,3.64,84.0,25.5
330,Michael Kelly,547184,0.00,2.0,0.0
331,Ian Kennedy,453178,3.62,27.1,24.6
332,Ray Kerr,678061,5.79,4.2,18.5
333,Clayton Kershaw,477132,2.94,49.0,26.7
334,Dallas Keuchel,572971,7.93,36.1,26.4
335,Yusei Kikuchi,579328,4.74,62.2,26.3
336,Caleb Kilian,668873,10.32,11.1,20.3
337,Craig Kimbrel,518886,3.96,25.0,32.7
339,John King,667463,4.50,30.0,29.1
340,Mike King,650633,2.38,41.2,35.2
341,Tyler Kinley,641755,0.75,24.0,18.5
342,George Kirby,669923,4.08,53.0,28.0
343,Andrew Kittredge,552640,3.15,20.0,18.1
344,Corey Kluber,446372,3.45,73.0,29.7
345,Corey Knebel,608349,3.48,31.0,27.1
346,Reiss Knehr,663753,0.00,6.2,39.5
347,Dusten Knight,643400,1.59,5.2,24.4
348,Matt Koch,571863,8.31,4.1,26.5
349,Jared Koenig,657649,6.38,18.1,24.7
350,Adam Kolarek,592473,4.58,17.2,23.5
351,Michael Kopech,656629,2.78,68.0,29.8
352,Jackson Kowar,663804,9.45,6.2,31.7
353,Max Kranick,668820,0.00,5.0,10.0
354,Joey Krehbiel,607216,2.70,26.2,30.9
355,Dean Kremer,665152,1.29,28.0,25.7
356,Chad Kuhl,641771,3.49,77.1,24.7
357,Joel Kuhnel,669270,6.20,20.1,24.1
358,Travis Lakins,664042,9.58,10.1,26.8
359,Jimmy Lambert,669424,3.45,15.2,23.8
360,Dinelson Lamet,659275,9.72,8.1,24.6
361,Alex Lange,656638,2.22,28.1,19.7
362,Eric Lauer,641778,4.02,78.1,23.9
363,Casey Lawrence,596271,3.68,7.1,21.1
365,Justin Lawrence,664875,5.52,14.2,28.7
366,Jose Leclerc,600917,15.00,3.0,13.6
367,Dylan Lee,669276,1.13,16.0,24.5
368,Evan Lee,681885,4.15,8.2,16.3
369,Mark Leiter,117653,5.55,24.1,0.0
370,Jacob Lemoine,621082,7.71,16.1,27.7
371,Dominic Leone,608678,2.54,28.1,27.7
372,Matthew Liberatore,669461,4.00,18.0,18.6
373,Zack Littell,641793,4.97,29.0,30.4
374,Mauricio Llovera,661440,4.66,9.2,28.0
375,Jonathan Loaisiga,642528,7.02,16.2,26.5
376,Nick Lodolo,666157,5.52,14.2,30.4
377,Zach Logue,656657,5.47,24.2,23.3
378,Sam Long,669674,2.00,27.0,27.9
379,Jorge Lopez,605347,0.73,37.0,28.6
380,Pablo Lopez,641154,2.98,87.2,31.2
381,Reynaldo Lopez,625643,3.38,34.2,28.1
382,Yoan López,661255,4.05,6.2,13.3
383,Michael Lorenzen,547179,4.24,68.0,24.0
384,Aaron Loup,571901,4.33,27.0,29.5
385,Zac Lowther,675912,8.44,5.1,32.7
386,Lucas Luetge,476595,3.38,24.0,22.6
387,Seth Lugo,607625,3.68,29.1,30.5
388,Jesus Luzardo,666200,4.03,29.0,30.8
389,Jordan Lyles,543475,4.94,85.2,30.0
391,Daniel Lynch,663738,4.95,63.2,21.3
392,Lance Lynn,458681,6.19,16.0,30.9
393,Andres Machado,600921,4.67,27.0,24.8
394,Tyler Mahle,641816,4.53,87.1,31.3
395,Sean Manaea,640455,3.92,85.0,27.8
396,Matt Manning,666159,2.25,8.0,22.7
397,Alek Manoah,666201,2.09,94.2,29.6
398,Joe Mantiply,573009,1.24,29.0,37.5
399,Ron Marinaccio,676760,2.45,18.1,20.6
400,Parker Markel,571917,0.00,3.0,21.4
401,German Marquez,608566,5.89,84.0,20.1
402,Yunior Marte,628708,4.60,15.2,21.8
403,Brett Martin,656685,3.47,23.1,23.8
404,Chris Martin,455119,3.86,23.1,26.7
405,Corbin Martin,656686,4.40,14.1,23.0
406,Davis Martin,663436,4.29,21.0,25.5
407,Adrian Martinez,661309,6.30,10.0,21.6
408,Nick Martinez,607259,3.76,67.0,27.2
409,Seth Martinez,661527,1.02,17.2,25.3
410,Phil Maton,664208,3.77,31.0,23.5
411,Steven Matz,571927,6.03,37.1,30.6
412,Tyler Matzek,554431,5.06,10.2,26.1
413,Trevor May,543507,8.64,8.1,16.9
414,Mike Mayers,594577,5.40,16.2,20.8
415,Jack Mayfield,608686,0.00,1.0,0.0
417,Tim Mayza,641835,3.15,20.0,29.2
418,Chris Mazza,607391,11.81,5.1,21.2
419,Kirk McCarty,668948,10.29,7.0,29.7
420,Shane McClanahan,663556,1.77,91.1,29.8
421,T. J. McFarland,519008,7.43,26.2,22.3
422,Jake McGee,459429,6.98,19.1,22.1
423,Collin McHugh,543521,3.19,31.0,28.2
424,David McKay,641853,0.00,2.0,26.9
425,Triston McKenzie,663474,4.03,80.1,23.3
426,John Means,607644,3.38,8.0,12.3
427,Adonis Medina,658431,3.94,16.0,30.6
428,Trevor Megill,656730,2.08,13.0,26.7
429,Tylor Megill,656731,5.01,41.1,28.1
430,J. C. Mejia,650496,23.14,2.1,21.1
431,Mark Melancon,453343,5.47,26.1,24.9
432,Conner Menez,669214,0.00,1.0,27.3
433,Daniel Mengden,596043,2.08,4.1,39.0
434,Julian Merryweather,657240,6.38,18.1,22.1
435,Keynan Middleton,641871,3.86,4.2,27.0
436,Miles Mikolas,571945,2.57,94.2,26.2
437,Wade Miley,489119,2.84,19.0,25.0
438,Tyson Miller,668338,18.00,3.0,23.9
